velx,vely,velz,accx,accy,accz
-0.734589,-0.259236,-0.154244,-1.394355,-0.492067,-0.292777
-0.905993,-0.319724,-0.190234,-1.502062,-0.530076,-0.315393
-1.044979,-0.368772,-0.219418,-1.299486,-0.458588,-0.272857
-1.164784,-0.411051,-0.244574,-1.473023,-0.519829,-0.309295
-1.269363,-0.447957,-0.266532,-1.176377,-0.415143,-0.247008
-1.353957,-0.477810,-0.284295,-1.147689,-0.405019,-0.240984
-1.429925,-0.504619,-0.300246,-1.067130,-0.376589,-0.224069
-1.502866,-0.530360,-0.315562,-1.178776,-0.415989,-0.247511
-1.571513,-0.554586,-0.329976,-1.031444,-0.363996,-0.216576
-1.635323,-0.577104,-0.343374,-1.116906,-0.394155,-0.234520
-1.693131,-0.597505,-0.355512,-0.898158,-0.316959,-0.188589
-1.744435,-0.615610,-0.366285,-0.953413,-0.336459,-0.200191
-1.797293,-0.634263,-0.377383,-1.012067,-0.357158,-0.212507
-1.851753,-0.653482,-0.388819,-1.074329,-0.379130,-0.225580
-1.898277,-0.669900,-0.398587,-0.752785,-0.265657,-0.158065
-1.936432,-0.683365,-0.406599,-0.783351,-0.276444,-0.164483
-1.975355,-0.697101,-0.414772,-0.815158,-0.287669,-0.171161
-2.015059,-0.711113,-0.423109,-0.848257,-0.299349,-0.178111
-2.055562,-0.725406,-0.431613,-0.882700,-0.311504,-0.185343
-2.096879,-0.739987,-0.440288,-0.918541,-0.324152,-0.192869
-2.139026,-0.754861,-0.449138,-0.955837,-0.337314,-0.200700
-2.171111,-0.766183,-0.455875,-0.492412,-0.173772,-0.103393
-2.192822,-0.773845,-0.460434,-0.502310,-0.177265,-0.105472
-2.214750,-0.781584,-0.465038,-0.512406,-0.180828,-0.107592
-2.236898,-0.789399,-0.469689,-0.522706,-0.184462,-0.109754
-2.259267,-0.797293,-0.474386,-0.533212,-0.188170,-0.111960
-2.281859,-0.805266,-0.479129,-0.543929,-0.191952,-0.114211
-2.304678,-0.813319,-0.483921,-0.554862,-0.195811,-0.116506
-2.327725,-0.821452,-0.488760,-0.566015,-0.199746,-0.118848
-2.351002,-0.829667,-0.493648,-0.577392,-0.203761,-0.121237
-2.374512,-0.837963,-0.498584,-0.588998,-0.207857,-0.123674
-2.398257,-0.846343,-0.503570,-0.600837,-0.212035,-0.126160
-2.422240,-0.854806,-0.508606,-0.612913,-0.216297,-0.128695
